title,year,certificate,duration,genre,rating,description,stars,votes
Dark,(2017–2020),TV-MA,60 min,"Crime, Drama, Mystery",9.4,"Jonas meets an ominous figure. While the kids comb the cave for answers, the adults gather in the bunker to share what they know about the travelers.","['Baran bo Odar', '| ', '    Stars:', 'Louis Hofmann, ', 'Helena Pieske, ', 'Lisa Vicari, ', 'Sylvester Groth']","12,373"
Stranger Things,(2016– ),TV-14,78 min,"Drama, Fantasy, Horror",9.4,"Max is in grave danger - and running out of time. A patient at Pennhurst asylum has visitors. Elsewhere, in Russia, Hopper is hard at work.","['Shawn Levy', '| ', '    Stars:', 'Winona Ryder, ', 'David Harbour, ', 'Millie Bobby Brown, ', 'Finn Wolfhard']","32,816"
Cobra Kai,(2018– ),TV-14,41 min,"Action, Comedy, Drama",9.4,"Old wounds begin to heal at a country club Christmas party, but a brutal assault by Kreese's students leads to new betrayals and alliances.","['Josh Heald', '| ', '    Stars:', 'Ralph Macchio, ', 'William Zabka, ', 'Courtney Henggeler, ', 'Xolo Maridueña']","5,941"
JoJo's Bizarre Adventure,(2012– ),TV-MA,25 min,"Animation, Action, Adventure",9.4,"Doppio continues to fight against Risotto and his iron controlling Metallica. Doppio struggles against the powerful assassin, but is armed with King Crimson's Epitaph, which allows him to see the future.","['Griffin Burns, ', 'Ray Chase, ', 'Shinshû Fuji, ', 'Kellen Goff']","1,184"
The Dragon Prince,(2018– ),TV-Y7,,"Animation, Action, Adventure",9.4,"The human alliance led by King Viren start an assault on the dragon's lair, the surviving Sunfire elves are determined to protect the dragon prince at all cost. Unexpected allies will rise on the battle for Xadia.","['Villads Spangsberg', '| ', '    Stars:', 'Rena Anakwe, ', 'Racquel Belmonte, ', 'Paula Burrows, ', 'Ian James Corlett']",886
Story Time Book: Read-Along,(2022– ),,,Animation,9.4,"Kids can read along with illustrated books that come to life through animation, music and narration. Exciting adventures, fuzzy animal friends and more.","['Lileina Joy, ', 'Maya Aoki Tuttle, ', 'Emily Wold, ', 'Lucy Capri']",16
Avatar: The Last Airbender,(2005–2008),TV-Y7,22 min,"Animation, Action, Adventure",9.4,The invasion seems to be succeeding until Aang learns that their arrival was anticipated. Zuko confronts his father.,"['Joaquim Dos Santos', '| ', '    Stars:', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena, ', 'Michaela Jill Murphy']","4,138"
Elesin Oba: The King's Horseman,(2022),,96 min,"Adventure, Drama, History",9.4,"Inspired by true life events, in the Oyo Empire in the 1940's, Elesin Oba, the king's chief horseman, succumbs to the lure of beauty and sexual desire on the very evening he is set to die ...                See full summary »","['Biyi Bandele', '| ', '    Stars:', 'Odunlade Adekola, ', 'Shaffy Bello, ', 'Olawale-Brymo Olofooro, ', 'Deyemi Okanlawon']",72
Rick and Morty,(2013– ),TV-14,22 min,"Animation, Adventure, Comedy",9.4,Rick & Morty go on a simple exchange as Rick tells Morty if something goes wrong jump into the same vat of acid as he does.,"['Wesley Archer, ', 'Jacob Hair', '| ', '    Stars:', 'Justin Roiland, ', 'Chris Parnell, ', 'Spencer Grammer, ', 'Sarah Chalke']","13,531"
Cosmos: A Spacetime Odyssey,(2014),TV-PG,557 min,Documentary,9.3,An exploration of our discovery of the laws of nature and coordinates in space and time.,"['Neil deGrasse Tyson, ', 'Christopher Emerson, ', 'Keythe Farley, ', 'Piotr Michael']","121,400"
BoJack Horseman,(2014–2020),TV-MA,27 min,"Animation, Comedy, Drama",9.3,"BoJack travels around the country reconnecting with loved ones, while Mr. Peanutbutter embarks on his own national tour as the face of depression.","['Aaron Long', '| ', '    Stars:', 'Will Arnett, ', 'Amy Sedaris, ', 'Alison Brie, ', 'Paul F. Tompkins']","4,161"
Avatar: The Last Airbender,(2005–2008),TV-Y7,25 min,"Animation, Action, Adventure",9.3,"While Katara herself becomes a great waterbending master, Commander Zhao plans a siege on the Northern Water Tribe. Meanwhile, Sokka's on a mission to stop this siege while Aang tries to buy them some time.","['Dave Filoni, ', 'Lauren MacMullan', '| ', '    Stars:', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena, ', 'Dante Basco']","4,584"
Lucifer,(2016–2021),TV-14,61 min,"Crime, Drama, Fantasy",9.3,Chloe learns a serial killer may have embellished his crimes. Amenadiel worries about his son's health. Pete opens up to Ella.,"['Kevin Alejandro', '| ', '    Stars:', 'Tom Ellis, ', 'Lauren German, ', 'Kevin Alejandro, ', 'D.B. Woodside']","5,350"
The Last Kingdom,(2015–2022),TV-14,51 min,"Action, Drama, History",9.3,"Aethelflaed and Uhtred ally with the Welsh king Hywel to face Cnut's army of a thousand warriors at the Battle of Tettenhall, hoping that they will be joined by Edward's troops.","[""Sarah O'Gorman"", '| ', '    Stars:', 'Cavan Clerkin, ', 'Craig Russell, ', 'Alexander Dreymon, ', 'Finn Elliot']","2,846"
Avatar: The Last Airbender,(2005–2008),TV-Y7-FV,23 min,"Animation, Action, Adventure",9.3,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","['Dee Bradley Baker, ', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena']","309,241"
JoJo's Bizarre Adventure,(2012– ),TV-MA,25 min,"Animation, Action, Adventure",9.3,Bruno unknowingly leads Doppio to the Colosseum while the rest of the gang is searching for their leader.,"['Griffin Burns, ', 'Sean Chiplock, ', 'Lizzie Freeman, ', 'Kellen Goff']","1,110"
Dexter,(2006–2013),TV-MA,50 min,"Crime, Drama, Mystery",9.3,"Dexter tries to distance himself from Lila, but discovers she is unwilling to let go of their relationship; Lundy's manhunt makes Dexter nervous as he tries to stay one step ahead - but it's Dexter's worst enemy that learns his secret.","['Marcos Siega', '| ', '    Stars:', 'Michael C. Hall, ', 'Julie Benz, ', 'Jennifer Carpenter, ', 'Erik King']","5,748"
Our Planet,(2019),TV-G,403 min,Documentary,9.3,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.",['David Attenborough'],"43,175"
Vagabond,(2019),,,"Action, Mystery, Thriller",9.3,The plan to get Woo Gi safely to the courthouse takes an unanticipated turn and throws the Blue House into panic mode.,"['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",187
Queer Eye,(2018– ),TV-14,,Reality-TV,9.3,A former bad boy who turned his life around after becoming paralyzed gets a wheelchair-accessible home and a new image to match his positive outlook.,"['Hisham Abed', '| ', '    Stars:', 'Bobby Berk, ', 'Karamo Brown, ', 'Tan France, ', 'Antoni Porowski']",431
Avatar: The Last Airbender,(2005–2008),TV-Y7,25 min,"Animation, Action, Adventure",9.2,"A series of short stories covering some of the time spent by Katara, Toph, Iroh, Sokka, Aang, Zuko and Momo as they live in Ba Sing Se.","['Ethan Spaulding', '| ', '    Stars:', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena, ', 'Michaela Jill Murphy']","5,421"
Julie and the Phantoms,(2020),TV-G,24 min,"Adventure, Comedy, Drama",9.2,"Julie meets Luke's parents and shares a touching song he wrote. Luke confides in Julie about Caleb and the band's ""unfinished business.""","['Kabir Akhtar', '| ', '    Stars:', 'Madison Reyes, ', 'Charlie Gillespie, ', 'Owen Patrick Joyner, ', 'Jeremy Shada']",595
Rick and Morty,(2013– ),TV-MA,23 min,"Animation, Adventure, Comedy",9.2,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"['Justin Roiland, ', 'Chris Parnell, ', 'Spencer Grammer, ', 'Sarah Chalke']","502,160"
The Boondocks,(2005–2014),TV-MA,22 min,"Animation, Action, Comedy",9.2,"Colonel Stinkmeaner returns from Hell after making a deal with the Devil, and possesses Tom in order to take revenge on Granddad.","['Seung Eun Kim, ', 'Bob Hathcock', '| ', '    Stars:', 'Regina King, ', 'John Witherspoon, ', 'Cedric Yarbrough, ', 'Gary Anthony Williams']",511
Dexter,(2006–2013),TV-MA,51 min,"Crime, Drama, Mystery",9.2,"In the Season Two finale, Lundy and the FBI finally settle the case of the Bay Harbor Butcher, but the heat's not entirely off Dexter as his world literally becomes an inferno. Can he rise from the ashes once again?","['Steve Shill', '| ', '    Stars:', 'Michael C. Hall, ', 'Julie Benz, ', 'Jennifer Carpenter, ', 'Erik King']","5,981"
Dexter,(2006–2013),TV-MA,54 min,"Crime, Drama, Mystery",9.2,"The Ice Truck Killer kidnaps someone close to Dexter, forcing him into a trap that will forever change his life, while Doakes begins to harbor suspicions about Dexter's odd behavior.","['Keith Gordon', '| ', '    Stars:', 'Michael C. Hall, ', 'Julie Benz, ', 'Jennifer Carpenter, ', 'Erik King']","6,247"
Lucifer,(2016–2021),TV-14,53 min,"Crime, Drama, Fantasy",9.2,"The end is nigh. Lucifer, Chloe, Maze and Amenadiel prepare for battle with Michael and his not-so-angelic army of supporters.","['Karen Gaviola', '| ', '    Stars:', 'Tom Ellis, ', 'Lauren German, ', 'Kevin Alejandro, ', 'D.B. Woodside']","4,474"
Reply 1988,(2015–2016),,90 min,"Comedy, Drama, Family",9.2,Follows the lives of 5 families living on the same street in a neighbourhood called Ssangmundong in Seoul. It takes a nostalgic look back at the year 1988.,"['Hyeri Lee, ', 'Go Kyung-Pyo, ', 'Ryu Jun-Yeol, ', 'Park Bo-gum']","7,286"
Dark,(2017–2020),TV-MA,56 min,"Crime, Drama, Mystery",9.2,"In 1987, Ulrich seizes an opportunity. The kids return to the cave with the time machine, and Jonas learns of a loophole that could change the future.","['Baran bo Odar', '| ', '    Stars:', 'Lisa Vicari, ', 'Andreas Pietschmann, ', 'Louis Hofmann, ', 'Dietrich Hollinderbäumer']","11,338"
The Sandman,(2022– ),TV-MA,53 min,"Drama, Fantasy, Horror",9.2,"Feeling a bit rudderless, Morpheus shadows his hard-working big sister, who offers him advice and encourages him to reconnect with an old acquaintance.","['Mairzee Almas', '| ', '    Stars:', 'Tom Sturridge, ', 'Kirby Howell-Baptiste, ', 'Jenna Coleman, ', 'Mason Alexander Park']","9,564"
JoJo's Bizarre Adventure,(2012– ),TV-MA,25 min,"Animation, Action, Adventure",9.2,The gang desperately tries to reach the Stand arrow whilst looking for Diavolo.,"['Lizzie Freeman, ', 'Kellen Goff, ', 'Fuminori Komatsu, ', 'Katsuyuki Konishi']",987
Anne with an E,(2017–2019),TV-PG,44 min,"Drama, Family",9.2,"As Easter approaches, Mary's illness brings change to Avonlea.","['Anne Wheeler', '| ', '    Stars:', 'Amybeth McNulty, ', 'Geraldine James, ', 'R.H. Thomson, ', 'Cara Ricketts']","1,995"
She-Ra and the Princesses of Power,(2018–2020),TV-Y7,24 min,"Animation, Action, Adventure",9.2,Razz confuses the past and the present and has trouble telling Mara and Adora apart. But Adora desperately needs her help.,"['Mandy Clotworthy', '| ', '    Stars:', 'Aimee Carrero, ', 'Marcus Scribner, ', 'Zehra Fazal, ', 'Morla Gorrondona']","1,184"
BoJack Horseman,(2014–2020),TV-MA,26 min,"Animation, Comedy, Drama",9.2,"After the Sarah Lynn story breaks, BoJack gives a live interview on TV. Diane meets Guy's teenage son.","['Aaron Long', '| ', '    Stars:', 'Will Arnett, ', 'Amy Sedaris, ', 'Alison Brie, ', 'Paul F. Tompkins']","3,362"
Lucifer,(2016–2021),TV-14,63 min,"Crime, Drama, Fantasy",9.2,"Lucifer learns that not all of his siblings want him to land the big promotion. Also, Dan offers to set Ella up with an old friend.","['Ildy Modrovich', '| ', '    Stars:', 'Tom Ellis, ', 'Lauren German, ', 'Kevin Alejandro, ', 'D.B. Woodside']","3,929"
Avatar: The Last Airbender,(2005–2008),TV-Y7,25 min,"Animation, Action, Adventure",9.1,"When Aang is captured by the Fire Nation, his only hope is a mysterious masked figure.","['Dave Filoni', '| ', '    Stars:', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena, ', 'Dante Basco']","4,461"
Yeh Meri Family,(2018),TV-14,30 min,"Comedy, Drama, Family",9.1,Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.,"['Vishesh Bansal, ', 'Mona Singh, ', 'Akarsh Khurana, ', 'Ahan Nirban']","23,865"
Pose,(2018–2021),TV-MA,68 min,Drama,9.1,"After a medical set back, Blanca struggles to reassemble the House of Evangelista. Meanwhile, Pray Tell confronts old traumas when an exciting new category is proposed.","['Janet Mock', '| ', '    Stars:', 'Michaela Jaé (MJ) Rodriguez, ', 'Billy Porter, ', 'Dominique Jackson, ', 'Indya Moore']",769
Bleach,(2004–2012),TV-14,24 min,"Animation, Action, Adventure",9.1,"Byakuya Kuchiki may have been impressed by the power exerted by Ichigo, the substitute Shinigami, but he's not done fighting yet.","['Kino Abe, ', 'Kumi Ichiguchi', '| ', '    Stars:', 'Masakazu Morita, ', 'Noriaki Sugiyama, ', 'Hiroki Yasumoto, ', 'Yuki Matsuoka']",633
Hans Zimmer Live in Prague,(2017 TV Special),,150 min,"Documentary, Music",9.1,The renowned film score composer leads a concert featuring his cinematic compositions.,"['Tim Van Someren', '| ', '    Stars:', 'Hans Zimmer, ', 'Yolanda Charles, ', 'Michael Einziger, ', 'Nick Glennie-Smith']","2,710"
Avatar: The Last Airbender,(2005–2008),TV-Y7,25 min,"Animation, Action, Adventure",9.1,"While looking for an Earthbending teacher, Aang, and his friends discover a young blind girl with secrets of her own.","['Ethan Spaulding', '| ', '    Stars:', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena, ', 'Michaela Jill Murphy']","4,316"
CM101MMXI Fundamentals,(2013),,139 min,"Documentary, Comedy",9.1,The funny little details of everyday life; the simple things that makes us laugh. An unforgettable performance from Cem Yilmaz. Yilmaz captures the audience with his hilarious stories about...                See full summary »,"['Murat Dündar', '| ', '    Star:', 'Cem Yilmaz']","46,282"
Julie and the Phantoms,(2020),TV-G,35 min,"Adventure, Comedy, Drama",9.1,"Julie and the Phantoms get their dream gig at the Orpheum. But when Caleb interferes, Julie searches for the courage to perform on her own.","['Kenny Ortega', '| ', '    Stars:', 'Madison Reyes, ', 'Charlie Gillespie, ', 'Owen Patrick Joyner, ', 'Jeremy Shada']",546
Avatar: The Last Airbender,(2005–2008),TV-Y7,22 min,"Animation, Action, Adventure",9.1,Zuko makes a decision about his future. Aang reunites with many of his old friends in a full-scale invasion of the Fire Nation capitol to coincide with an eclipse which will remove the Fire Nation's powers.,"['Giancarlo Volpe', '| ', '    Stars:', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena, ', 'Michaela Jill Murphy']","3,856"
Queer Eye,(2018– ),TV-14,,Reality-TV,9.1,"The Fab Five help a kind but lonely bachelor find unconditional love and get his dusty home ready for visitors, the first guests he's had in years.","['Hisham Abed', '| ', '    Stars:', 'Bobby Berk, ', 'Karamo Brown, ', 'Tan France, ', 'Antoni Porowski']",326
Leyla and Mecnun,(2011–2022),TV-PG,80 min,"Adventure, Comedy, Drama",9.1,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.","['Ali Atay, ', 'Serkan Keskin, ', 'Cengiz Bozkurt, ', 'Köksal Engür']","93,632"
Rick and Morty,(2013– ),TV-14,22 min,"Animation, Adventure, Comedy",9.1,"An adventure with an invisibility belt, but a family that disappears together, must stay together.","['Wesley Archer, ', 'Erica Hayes', '| ', '    Stars:', 'Justin Roiland, ', 'Chris Parnell, ', 'Spencer Grammer, ', 'Sarah Chalke']","9,861"
Top Gear,(2002– ),TV-PG,52 min,"Adventure, Comedy, Reality-TV",9.1,"Jeremy, James and Richard each buy a used two-wheel drive car for £1500 and drive it for 1,000 miles (1,600 kilometres) across Botswana from the Zimbabwe border across the Makgadikgadi salt...                See full summary »","['James Bryce', '| ', '    Stars:', 'Jeremy Clarkson, ', 'Richard Hammond, ', 'James May, ', 'The Stig']",630
#ABtalks,(2018 Podcast Series),,,,9.1,"#ABtalks is an interview show hosted by Anas Bukhash, showcasing the 'raw' side of celebrities, athletes, entrepreneurs, and influencers as human beings.","['Karen Wazen, ', 'Deema Al Asadi, ', 'Hala Abdallah, ', 'Mina Al Sheikhly']",15
My Mister,(2018),TV-14,70 min,"Drama, Family",9.1,"A man in his 40's withstands the weight of life. A woman in her 20's goes through different experiences, but also withstands the weight of her life. The man and woman get together to help each other.","['Lee Sun-kyun, ', 'Ji-eun Lee, ', 'Ji-Ah Lee, ', 'Park Ho-San']","6,442"
Fullmetal Alchemist: Brotherhood,(2009–2010),TV-14,24 min,"Animation, Action, Adventure",9.1,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"['Kent Williams, ', 'Iemasa Kayumi, ', 'Matthew Leonhart, ', 'Vic Mignogna']","164,032"
The Vietnam War,(2017),TV-MA,990 min,"Documentary, History, War",9.1,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,"['Peter Coyote, ', 'Huy Duc, ', 'James Willbanks, ', 'Duong Van Mai Elliott']","24,632"
Kota Factory,(2019–2021),TV-14,45 min,"Comedy, Drama",9.1,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.","['Mayur More, ', 'Jitendra Kumar, ', 'Ranjan Raj, ', 'Alam Khan']","71,138"
Dark,(2017–2020),TV-MA,58 min,"Crime, Drama, Mystery",9.1,Martha meets the Stranger and learns his true identity. Claudia tries to prevent Egon's death in 1987. Hannah travels to 1954 to see Ulrich.,"['Baran bo Odar', '| ', '    Stars:', 'Dietrich Hollinderbäumer, ', 'Lisa Vicari, ', 'Andreas Pietschmann, ', 'Maja Schöne']","11,251"
Final Space,(2018–2021),TV-14,21 min,"Animation, Action, Adventure",9.1,"With the dimensional keys recovered, the crew travel to Inner Space where they finally try to free Bolo.","['Ben Bjelajac', '| ', '    Stars:', 'Fred Armisen, ', 'Ashly Burch, ', 'Ron Funches, ', 'Tom Kenny']",939
Anne with an E,(2017–2019),TV-PG,44 min,"Drama, Family",9.1,Anne rallies the town to speak out against injustice.,"['Paul Fox', '| ', '    Stars:', 'Amybeth McNulty, ', 'Geraldine James, ', 'R.H. Thomson, ', 'Dalila Bela']","1,776"
Sherlock,(2010–2017),TV-14,88 min,"Crime, Drama, Mystery",9.1,A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.,"['Benedict Cumberbatch, ', 'Martin Freeman, ', 'Una Stubbs, ', 'Rupert Graves']","913,816"
Chocolate,(2019–2020),,,"Drama, Romance",9.1,"Making his amends with Kang, Jun reveals a truth he'd been holding back. Cha Yeong opens up about a special woman from her past. (Source: Netflix)","['Lee Hyeong-min', '| ', '    Stars:', 'Ha Ji-Won, ', 'Yoon Kyesang, ', 'Seung-jo Jang, ', 'Jin-Woong Min']",13
Dexter,(2006–2013),TV-MA,56 min,"Crime, Drama, Mystery",9.1,"The Ice Truck Killer leaves Dexter the most horrifying crime scene imaginable, forcing him to confront a horrific suppressed memory from his past; Rita must hire a lawyer when her ex sues for sole custody of their children.","['Michael Cuesta', '| ', '    Stars:', 'Michael C. Hall, ', 'Julie Benz, ', 'Jennifer Carpenter, ', 'Erik King']","6,130"
The Last Dance,(2020),TV-MA,491 min,"Documentary, Biography, History",9.1,"Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.","['Michael Jordan, ', 'Phil Jackson, ', 'Scottie Pippen, ', 'David Aldridge']","119,768"
She-Ra and the Princesses of Power,(2018–2020),TV-Y7,24 min,"Animation, Action, Adventure",9.1,Catra and Hordak fight one another as Glimmer and Scorpia arrive in the Fright Zone. Adora sets off in a last-ditch attempt to stop Light Hope's plan.,"['Christina Manrique', '| ', '    Stars:', 'Aimee Carrero, ', 'Karen Fukuhara, ', 'AJ Michalka, ', 'Marcus Scribner']","1,106"
Avatar: The Last Airbender,(2005–2008),TV-Y7,25 min,"Animation, Action, Adventure",9.1,Creepy things are afoot when the gang meets a mysterious old innkeeper with a secret.,"['Joaquim Dos Santos', '| ', '    Stars:', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena, ', 'Michaela Jill Murphy']","4,257"
Bleach,(2004–2012),TV-14,25 min,"Animation, Action, Adventure",9.1,Rukia's execution begins as Ichigo and the others are rushing to Sookyoku Hill in an attempt to stop the ceremony.,"['Kino Abe, ', 'Kumi Ichiguchi', '| ', '    Stars:', 'Masakazu Morita, ', 'Fumiko Orikasa, ', 'Noriaki Sugiyama, ', 'Hiroki Yasumoto']",640
Death Note,(2006–2007),TV-14,24 min,"Animation, Crime, Drama",9.0,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,"['Mamoru Miyano, ', 'Brad Swaile, ', 'Vincent Tong, ', 'Ryô Naitô']","316,300"
Cobra Kai,(2018– ),TV-14,39 min,"Action, Comedy, Drama",9.0,"In Okinawa, Daniel spends time with an old friend - and an old enemy, who has much to teach him. The dueling dojos' rivalry comes to a nasty head.","['Steven K. Tsuchida', '| ', '    Stars:', 'Ralph Macchio, ', 'William Zabka, ', 'Courtney Henggeler, ', 'Xolo Maridueña']","4,152"
The Boondocks,(2005–2014),TV-MA,23 min,"Animation, Action, Comedy",9.0,Martin Luther King comes out of a 32-year coma and Huey helps him to readjust. But Dr. King finds that his peaceful philosophy is no longer accepted in post-9/11 America.,"['Kalvin Lee', '| ', '    Stars:', 'Regina King, ', 'John Witherspoon, ', 'Cedric Yarbrough, ', 'Gary Anthony Williams']",559
Avatar: The Last Airbender,(2005–2008),TV-Y7,25 min,"Animation, Action, Adventure",9.0,"Team Avatar is getting chased by a mysterious machine, they become sleep deprived when they try to get away from Azula and her two friends. Katara and Toph get into a heated argument, she ...                See full summary »","['Giancarlo Volpe', '| ', '    Stars:', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena, ', 'Michaela Jill Murphy']","3,889"
Avatar: The Last Airbender,(2005–2008),TV-Y7,25 min,"Animation, Action, Adventure",9.0,"The Avatar gang encounters Jet in Ba Sing Se and he helps them to discover the location of Appa. But they will end up discovering something else, a secret of the city.","['Lauren MacMullan', '| ', '    Stars:', 'Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena, ', 'Michaela Jill Murphy']","3,803"
